@relation dataset-weka.filters.unsupervised.attribute.AddValues-C11-L4

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute myo1-1 numeric
@attribute myo1-2 numeric
@attribute myo1-3 numeric
@attribute myo1-4 numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 {0,1,2,3,4}

@data
223,'2018/02/22 12:59:18:405',2,0.50081,0.488884,0.617801,0,?,?,100,?
224,'2018/02/22 12:59:18:405',2,0.500823,0.488898,0.6178,0,?,?,100,?
225,'2018/02/22 12:59:18:430',2,0.50081,0.488884,0.617801,0,?,?,100,?
226,'2018/02/22 12:59:18:579',2,0.50081,0.488884,0.617801,0,?,?,100,?
227,'2018/02/22 12:59:18:580',2,0.500823,0.488898,0.6178,0,?,?,100,?
228,'2018/02/22 12:59:18:580',2,0.500823,0.488898,0.617828,0,?,?,100,?
229,'2018/02/22 12:59:18:580',2,0.50081,0.488883,0.617829,0,?,?,100,?
230,'2018/02/22 12:59:18:580',2,0.500822,0.488898,0.617827,0,?,?,100,?
231,'2018/02/22 12:59:18:594',2,0.500823,0.488898,0.617828,0,?,?,100,?
232,'2018/02/22 13:02:32:518',3,0.212544,0.521257,0.623677,0,?,?,?,?
233,'2018/02/22 13:02:32:520',3,0.212542,0.521267,0.623676,0,?,?,?,?
234,'2018/02/22 13:02:32:521',3,0.212544,0.521257,0.623677,0,?,?,?,?
235,'2018/02/22 13:02:32:521',3,0.212559,0.521275,0.623656,0,?,?,?,?
236,'2018/02/22 13:02:32:521',3,0.212574,0.521275,0.623579,0,?,?,?,?
237,'2018/02/22 13:02:32:521',3,0.212577,0.521287,0.623597,0,?,?,?,?
238,'2018/02/22 13:02:32:522',3,0.212605,0.521302,0.623709,0,?,?,?,?
239,'2018/02/22 13:02:32:550',3,0.212674,0.521303,0.623706,0,?,?,?,?
240,'2018/02/22 13:02:32:607',3,0.212674,0.521303,0.623706,0,?,?,?,?
241,'2018/02/22 13:02:32:607',3,0.212677,0.521308,0.623744,0,?,?,?,?
242,'2018/02/22 13:02:32:622',3,0.212717,0.521298,0.623896,0,?,?,?,?
243,'2018/02/22 13:02:32:649',3,0.21272,0.521288,0.623896,0,?,?,?,?
244,'2018/02/22 13:02:32:697',3,0.212716,0.521305,0.623876,0,?,?,?,?
245,'2018/02/22 13:02:32:719',3,0.212716,0.521305,0.623876,0,?,?,?,?
246,'2018/02/22 13:02:32:726',3,0.212716,0.521305,0.623876,0,?,?,?,?
247,'2018/02/22 13:02:32:872',3,0.212745,0.521331,0.623758,0,?,?,?,?
248,'2018/02/22 13:02:32:872',3,0.212759,0.521328,0.623892,0,?,?,?,?
249,'2018/02/22 13:02:32:872',3,0.212777,0.521308,0.624045,0,?,?,?,?
250,'2018/02/22 13:02:32:872',3,0.212773,0.521325,0.624025,0,?,?,?,?
251,'2018/02/22 13:02:32:872',3,0.212777,0.521308,0.624045,0,?,?,?,?
252,'2018/02/22 13:02:32:877',3,0.212777,0.521308,0.624045,0,?,?,?,?
253,'2018/02/22 13:02:32:903',3,0.212777,0.521308,0.624045,0,?,?,?,?
254,'2018/02/22 13:02:33:046',3,0.212756,0.521317,0.624046,0,?,?,?,?
255,'2018/02/22 13:02:33:046',3,0.212773,0.521325,0.624025,0,?,?,?,?
256,'2018/02/22 13:02:33:046',3,0.212773,0.521325,0.624025,0,?,?,?,?
